date,week_start_date,date_label_raw,price_label_raw,price,frequency,product_name,market,unit,currency,series_name,source_name,source_dataset,source_url
2022-07-17,2022-07-11,11 al 17 de julio de 2022,"$8.243,70",8243.7,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-07-24,2022-07-18,18 al 24 de julio de 2022,"$8.563,30",8563.3,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-07-31,2022-07-25,25 al 31 de julio de 2022,"$8.628,30",8628.3,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-08-07,2022-08-01,01 al 07 de agosto de 2022,"$8.628,30",8628.3,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-08-14,2022-08-08,08 al 14 de agosto de 2022,"$8.491,30",8491.3,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-08-21,2022-08-15,15 al 21 de agosto de 2022,"$8.579,16",8579.16,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-08-28,2022-08-22,22 al 28 de agosto de 2022,"$8.625,00",8625.0,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-09-04,2022-08-29,29 de agosto al 04 de septiembre de 2022,"$8.699,20",8699.2,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-09-11,2022-09-05,05 al 11 de septiembre de 2022,"$8.855,80",8855.8,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-09-18,2022-09-12,12 al 18 de septiembre de 2022,"$8.815,80",8815.8,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-09-25,2022-09-19,19 al 25 de septiembre de 2022,"$8.717,50",8717.5,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-10-02,2022-09-26,26 de septiembre al 02 de octubre de 2022,"$8.662,50",8662.5,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
