2026-04-16 10:30:28,890 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 10:30:29,017 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 10:30:29,117 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 10:30:29,355 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 10:30:29,429 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 10:30:31,476 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 10:30:46,533 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 10:30:46,644 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 10:30:46,739 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 10:30:46,947 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 10:30:47,020 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 10:30:49,059 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 10:30:52,616 | INFO | v2_disaster_pipeline | Generated V3 integrated information and synthesis figures.
2026-04-16 10:30:52,616 | INFO | v2_disaster_pipeline | Generated V3 integrated visualizations.
2026-04-16 10:31:10,348 | INFO | v2_disaster_pipeline | Rendered Pandoc outputs: {'docx': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.docx', 'pdf': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.pdf', 'tex': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.tex'}
2026-04-16 10:31:10,349 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=pca_index
